strain	date	Host	Geo_Location	country	accession
KF478767	2012-03-03	Mastomys natalensis	Mali	Mali	
OL774863	2019-07-13 (2010-08-11 - 2029-02-04)	Homo sapiens	Mali	Mali	
KF478765	2007-03-26 (1999-08-30 - 2014-01-30)	Mastomys natalensis	Mali	Mali	
KF478766	2011-07-16 (1996-02-28 - 2029-06-24)	Mastomys natalensis	Mali	Mali	
KF478768	2002-05-01 (1987-02-10 - 2015-11-15)	Mastomys natalensis	Mali	Mali	
MK656423	2015-09-07	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656425	2015-09-07	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656424	2015-09-07	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656426	2015-09-07	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656419	2013-08-20	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656420	2013-08-22	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656421	2013-08-22	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656422	2015-08-24	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656414	2015-08-28	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656418	2015-08-29	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656415	2015-08-28	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656416	2015-08-29	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MK656417	2015-08-29	Mastomys	Cote d'Ivoire	Cote d'Ivoire	
MG812632	1981-12-31 (1981-02-07 - 1981-12-31)	Homo sapiens	Liberia	Liberia	
MH215289	2018-03-01	Homo sapiens	Liberia: Nimba	Liberia	
MG812661	2013-04-29	Homo sapiens	Liberia: Nimba	Liberia	
MH215281	2018-01-10	Homo sapiens	Liberia: Nimba	Liberia	
MG812658	2014-12-31 (2014-02-08 - 2014-12-31)	Homo sapiens	Liberia	Liberia	
MG812665	2016-04-13	Homo sapiens	Liberia: Nimba	Liberia	
MH215283	2018-02-13	Homo sapiens	Liberia: Nimba	Liberia	
MG812673	2017-01-09	Homo sapiens	Liberia: Nimba	Liberia	
MG812670	2017-05-02	Homo sapiens	Liberia: Nimba	Liberia	
MG812657	2013-04-29	Homo sapiens	Liberia: Nimba	Liberia	
MG812667	2017-01-09	Homo sapiens	Liberia: Nimba	Liberia	
MG812679	2010-12-31 (2010-02-07 - 2010-12-31)	Homo sapiens	Liberia	Liberia	
MH215287	2018-03-03	Homo sapiens	Liberia: Monsterrado	Liberia	
MG812650	2015-12-31 (2015-02-07 - 2015-12-31)	Homo sapiens	Liberia	Liberia	
MG812677	2017-02-13	Homo sapiens	Liberia: Bong	Liberia	
MG812653	2011-02-20	Homo sapiens	Liberia: Bong	Liberia	
MH215279	2018-01-10	Homo sapiens	Liberia: Bong	Liberia	
MG812655	2011-04-14	Homo sapiens	Liberia: Bong	Liberia	
MG812663	2016-02-26	Homo sapiens	Liberia: Bong	Liberia	
MG812685	1996-01-01 (1996-01-01 - 1996-11-24)	Homo sapiens	Guinea	Guinea	
GU830839	2003-01-01 (2003-01-01 - 2003-11-24)	Mastomys natalensis	Guinea	Guinea	
MT861994	2019-01-28	Homo sapiens	Guinea: Kissidougou	Guinea	
MG812631	1981-12-31 (1981-02-07 - 1981-12-31)	Homo sapiens	Liberia	Liberia	
MG812645	1981-07-28 (1981-01-01 - 1981-12-31)	Homo sapiens	Guinea	Guinea	
KU978810	1981-01-20	Homo sapiens	Guinea	Guinea	
MH215285	2018-03-02	Homo sapiens	Liberia: Monsterrado	Liberia	
MG812636	1981-01-01 (1981-01-01 - 1981-11-25)	Homo sapiens	Liberia	Liberia	
MG812648	1972-12-29 (1972-01-01 - 1972-12-31)	Homo sapiens	Liberia	Liberia	
OM791228	2019-04-17	Mastomys natalensis	Sierra Leone: Kamasseh	Sierra Leone	
OR113006	2018-02-13	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
KM821798	2010-12-31 (2010-02-06 - 2010-12-31)	Homo sapiens	Liberia	Liberia	
KT992417	2014-05-08	Mastomys erythroleucus	Guinea	Guinea	
KT992421	2014-05-10	Mastomys erythroleucus	Guinea	Guinea	
KT992416	2014-05-08	Mastomys erythroleucus	Guinea	Guinea	
KT992418	2014-05-09	Mastomys erythroleucus	Guinea	Guinea	
KT992419	2014-05-09	Mastomys erythroleucus	Guinea	Guinea	
KT992420	2014-05-09	Mastomys erythroleucus	Guinea	Guinea	
OM735988	2019-08-02	Mastomys natalensis	Sierra Leone: Makump	Sierra Leone	
OM791230	2019-05-29	Mastomys natalensis	Sierra Leone: Kapethe	Sierra Leone	
OM791232	2019-05-30	Mastomys natalensis	Sierra Leone: Kapethe	Sierra Leone	
OM735976	2019-10-03	Mastomys natalensis	Sierra Leone: Kapethe	Sierra Leone	
OM735978	2019-10-03	Mastomys natalensis	Sierra Leone: Kapethe	Sierra Leone	
OM791226	2019-04-17	Mastomys erythroleucus	Sierra Leone: Kamasseh	Sierra Leone	
OM735980	2019-09-08	Mastomys natalensis	Sierra Leone: Bafodia	Sierra Leone	
OM735968	2019-11-06	Mastomys natalensis	Sierra Leone: Bafodia	Sierra Leone	
OM735986	2019-09-07	Mastomys natalensis	Sierra Leone: Bafodia	Sierra Leone	
OM735982	2019-09-08	Mastomys natalensis	Sierra Leone: Bafodia	Sierra Leone	
OM735984	2019-09-08	Mastomys natalensis	Sierra Leone: Bafodia	Sierra Leone	
MW039389	2014-04-10	Mastomys natalensis	Sierra Leone: Yakaji	Sierra Leone	
OM791220	2020-02-05	Mastomys natalensis	Sierra Leone: Barlie	Sierra Leone	
KM821822	2011-12-31 (2011-02-06 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821885	2013-01-01 (2013-01-01 - 2013-11-22)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821847	2012-01-01 (2012-01-01 - 2012-11-24)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821802	2011-10-07 (2011-01-01 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821904	2013-12-31 (2013-02-11 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OM735974	2019-10-11	Lophuromys sikapusi	Sierra Leone: Barlie	Sierra Leone	
OM735990	2019-07-13	Lophuromys sikapusi	Sierra Leone: Barlie	Sierra Leone	
KM821800	2011-01-01 (2011-01-01 - 2011-11-25)	Homo sapiens	Sierra Leone	Sierra Leone	
MW039388	2014-04-28	Mastomys natalensis	Sierra Leone: Nyandeyama	Sierra Leone	
KM821871	2012-01-01 (2012-01-01 - 2012-11-19)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821869	2012-01-01 (2012-01-01 - 2012-11-24)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821833	2012-12-31 (2012-02-19 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821835	2012-01-01 (2012-01-01 - 2012-11-18)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821861	2012-12-31 (2012-02-16 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821909	2013-12-31 (2013-02-06 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
MW039391	2014-04-11	Mastomys natalensis	Sierra Leone: Yakaji	Sierra Leone	
MW039390	2014-04-10	Mastomys natalensis	Sierra Leone: Yakaji	Sierra Leone	
OR113007	2018-02-20	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
KM821856	2012-12-31 (2012-02-06 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821872	2012-12-31 (2012-02-07 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
MG812647	1975-01-01 (1975-01-01 - 1975-11-20)	Homo sapiens	Sierra Leone	Sierra Leone	
MG812639	1977-02-07 (1977-01-01 - 1977-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821787	2010-12-31 (2010-02-08 - 2010-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821859	2012-12-31 (2012-02-08 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OQ919519	2022-06-09		Sierra Leone: KGH	Sierra Leone	
OR041676	2023-02-08	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
KM821804	2011-12-31 (2011-02-11 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821806	2011-01-01 (2011-01-01 - 2011-11-19)	Homo sapiens	Sierra Leone	Sierra Leone	
MG812643	1979-01-01 (1979-01-01 - 1979-11-22)		Sierra Leone	Sierra Leone	
MG812683	1980-12-31 (1980-02-17 - 1980-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821854	2012-12-31 (2012-02-07 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OL774857	2003-01-01 (2003-01-01 - 2003-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821850	2012-12-31 (2012-02-10 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821890	2013-12-31 (2013-02-13 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821902	2013-06-16 (2013-01-01 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821907	2013-06-16 (2013-01-01 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821900	2013-01-01 (2013-01-01 - 2013-11-04)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821897	2013-06-18 (2013-01-01 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821894	2013-06-18 (2013-01-01 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821906	2013-06-18 (2013-01-01 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821837	2012-01-01 (2012-01-01 - 2012-11-23)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821775	2009-01-01 (2009-01-01 - 2009-12-10)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821845	2012-03-14 (2012-01-01 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821882	2013-12-31 (2013-02-10 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821818	2011-12-31 (2011-02-20 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821877	2012-01-01 (2012-01-01 - 2012-11-11)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821824	2011-12-31 (2011-02-07 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821794	2010-01-01 (2010-01-01 - 2010-11-19)	Homo sapiens	Sierra Leone	Sierra Leone	
OQ919514	2017-08-03		Sierra Leone: KGH	Sierra Leone	
KM821773	2009-12-31 (2009-02-11 - 2009-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821826	2011-12-31 (2011-02-11 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM822113	2010-12-31 (2010-02-15 - 2010-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM822120	2012-12-31 (2012-01-22 - 2012-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM822124	2012-01-01 (2012-01-01 - 2012-11-14)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM821828	2011-01-01 (2011-01-01 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
MN275173	2012-01-01 (2012-01-01 - 2012-11-14)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821848	2012-01-01 (2012-01-01 - 2012-11-03)	Homo sapiens	Sierra Leone	Sierra Leone	
KM822122	2012-09-25 (2012-01-01 - 2012-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM822118	2012-12-31 (2012-03-14 - 2012-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM821830	2011-12-31 (2011-02-10 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM822111	2010-01-21 (2010-01-01 - 2010-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM821789	2010-01-01 (2010-01-01 - 2010-11-16)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821777	2009-12-31 (2009-02-17 - 2009-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821785	2009-01-14 (2009-01-01 - 2009-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821863	2012-01-01 (2012-01-01 - 2012-11-01)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821878	2012-01-01 (2012-01-01 - 2012-11-01)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821814	2011-12-31 (2011-03-20 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821820	2011-12-31 (2011-02-26 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
JN650517	1976-03-11	Homo sapiens	Sierra Leone: Songo Hospital, Sebgwema	Sierra Leone	
KM821792	2010-12-31 (2010-02-08 - 2010-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OR113005	2023-04-18	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
KM821874	2012-12-31 (2012-02-09 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OQ919518	2020-01-14		Sierra Leone: KGH	Sierra Leone	
KM821899	2013-01-01 (2013-01-01 - 2013-11-20)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821876	2012-12-31 (2012-02-15 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821779	2009-12-31 (2009-02-14 - 2009-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821843	2012-01-01 (2012-01-01 - 2012-11-14)	Homo sapiens	Sierra Leone	Sierra Leone	
KM822115	2009-01-01 (2009-01-01 - 2009-11-20)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM821790	2010-01-01 (2010-01-01 - 2010-11-16)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821812	2011-12-31 (2011-02-16 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821832	2011-12-31 (2011-02-11 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821783	2009-12-31 (2009-02-07 - 2009-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821815	2011-03-18 (2011-01-01 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM822126	2012-10-06 (2012-01-01 - 2012-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM821884	2013-06-21 (2013-01-01 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821889	2013-06-21 (2013-01-01 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821839	2012-12-31 (2012-02-08 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OQ919515	2019-12-26		Sierra Leone: KGH	Sierra Leone	
KM821867	2012-12-31 (2012-01-30 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821857	2012-01-01 (2012-01-01 - 2012-11-22)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821841	2012-01-01 (2012-01-01 - 2012-11-08)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821865	2012-12-31 (2012-03-09 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OQ919513	2017-04-09		Sierra Leone: KGH	Sierra Leone	
OR041678	2021-03-15	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
OQ919511	2021-03-12		Sierra Leone: KGH	Sierra Leone	
OM791222	2020-02-18	Mastomys natalensis	Sierra Leone: Largo	Sierra Leone	
OR041681	2023-01-20	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
OQ919520	2020-12-18		Sierra Leone: KGH	Sierra Leone	
OR041680	2023-01-17	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
OR113004	2023-04-11	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
KM821808	2011-01-01 (2011-01-01 - 2011-11-18)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821816	2011-12-31 (2011-02-15 - 2011-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
OM735970	2019-10-27	Mastomys natalensis	Sierra Leone: Largo	Sierra Leone	
OM735972	2019-10-27	Mastomys natalensis	Sierra Leone: Largo	Sierra Leone	
KM821886	2013-01-01 (2013-01-01 - 2013-11-13)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821781	2009-12-31 (2009-03-14 - 2009-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821852	2012-01-01 (2012-01-01 - 2012-11-12)	Homo sapiens	Sierra Leone	Sierra Leone	
OR041679	2022-10-06	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
OR041682	2022-09-12	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
OR041683	2021-07-31	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
KM822117	2012-12-31 (2012-02-13 - 2012-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
OR041686	2022-08-11	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
OR041687	2021-02-08	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
KM821796	2010-01-01 (2010-01-01 - 2010-11-22)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821880	2012-12-31 (2012-02-17 - 2012-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821887	2013-01-01 (2013-01-01 - 2013-11-22)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821810	2011-01-01 (2011-01-01 - 2011-11-22)	Homo sapiens	Sierra Leone	Sierra Leone	
KM822130	2011-01-01 (2011-01-01 - 2011-11-08)	Mastomys natalensis	Sierra Leone	Sierra Leone	
KM822132	2011-11-24 (2011-01-01 - 2011-12-31)	Mastomys natalensis	Sierra Leone	Sierra Leone	
OQ919512	2018-01-28		Sierra Leone: KGH	Sierra Leone	
OQ919516	2018-01-30		Sierra Leone: KGH	Sierra Leone	
KM821895	2013-01-01 (2013-01-01 - 2013-11-17)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821892	2013-12-31 (2013-02-10 - 2013-12-31)	Homo sapiens	Sierra Leone	Sierra Leone	
KM821910	2013-01-01 (2013-01-01 - 2013-11-20)	Homo sapiens	Sierra Leone	Sierra Leone	
OR041684	2022-05-17	Homo sapiens	Sierra Leone: KGH	Sierra Leone	
OQ919517	2022-05-28		Sierra Leone: KGH	Sierra Leone	
