,pcorr,rf,md
0,35,58,60
1,61,74,273
2,44,28,77
3,273,421,61
4,60,273,31
5,76,60,44
6,324,414,76
7,31,61,28
8,77,183,35
9,28,48,74
10,207,76,421
11,74,44,324
12,421,482,482
13,482,31,207
14,48,324,58
15,58,77,48
16,5,35,414
17,183,420,5
18,414,459,183
19,209,272,376
20,376,59,328
21,328,376,459
22,171,207,272
23,272,328,209
24,459,67,171
25,174,5,174
26,384,65,384
27,458,25,458
28,420,209,420
29,38,488,38
30,488,38,488
31,462,171,462
32,96,174,43
33,59,43,59
34,178,51,178
35,43,47,208
36,450,462,96
37,274,178,70
38,70,487,479
39,479,377,274
40,208,137,450
41,298,18,298
42,47,72,18
43,132,70,72
44,67,132,67
45,72,458,114
46,18,450,47
47,25,53,25
48,377,274,377
49,137,379,65
50,65,11,487
51,474,298,137
52,487,163,132
53,461,126,474
54,114,208,97
55,125,97,461
56,97,164,125
57,164,112,335
58,228,96,164
59,112,358,228
60,335,114,90
61,226,100,398
62,327,398,112
63,11,125,226
64,69,384,11
65,398,69,327
66,481,90,471
67,90,15,69
68,471,479,481
69,126,110,225
70,113,228,199
71,251,433,333
72,225,251,126
73,199,187,251
74,333,219,110
75,379,380,113
76,15,111,15
77,330,221,330
78,176,481,176
79,358,172,173
80,110,388,152
81,465,327,358
82,127,55,239
83,187,206,465
84,150,461,100
85,221,150,332
86,206,131,287
87,287,374,159
88,380,474,150
89,100,417,127
90,239,375,187
91,388,471,221
92,172,243,218
93,485,225,380
94,53,406,485
95,13,50,379
96,201,199,206
97,152,128,172
98,4,146,388
99,410,368,53
100,50,350,201
101,448,6,13
102,417,159,216
103,214,451,4
104,396,4,410
105,173,486,448
106,218,252,417
107,95,335,80
108,451,113,50
109,332,1,435
110,39,62,396
111,435,261,146
112,325,472,95
113,320,216,175
114,392,480,451
115,375,244,214
116,159,161,392
117,80,336,375
118,216,289,320
119,175,425,325
120,130,127,229
121,229,475,130
122,281,333,288
123,288,435,232
124,270,68,281
125,51,218,270
126,267,315,326
127,290,270,267
128,131,215,204
129,203,142,406
130,45,201,243
131,204,491,203
132,243,87,131
133,406,23,404
134,258,478,128
135,404,330,258
136,326,95,290
137,250,152,45
138,111,9,39
139,116,27,51
140,163,266,111
141,146,396,122
142,402,485,250
143,425,248,433
144,252,14,116
145,215,281,163
146,138,489,402
147,234,130,368
148,253,490,425
149,433,80,252
150,122,410,253
151,71,432,215
152,401,45,234
153,389,359,138
154,232,177,389
155,486,40,401
156,128,175,71
157,368,404,88
158,490,389,490
159,88,282,62
160,352,223,343
161,343,288,66
162,66,176,352
163,350,2,161
164,161,173,486
165,230,232,350
166,235,42,230
167,472,430,460
168,29,460,480
169,254,89,261
170,181,442,29
171,429,431,255
172,359,476,359
173,339,408,254
174,89,71,181
175,19,484,200
176,144,313,89
177,423,226,429
178,460,138,442
179,442,449,423
180,480,19,249
181,261,103,144
182,200,369,235
183,249,116,19
184,255,12,472
185,177,194,339
186,62,214,177
187,213,17,213
188,184,332,98
189,98,483,469
190,117,98,194
191,194,311,27
192,27,258,192
193,87,234,184
194,282,16,117
195,369,204,87
196,14,307,282
197,469,465,14
198,192,188,369
199,374,326,248
200,289,52,55
201,248,13,289
202,55,3,374
203,427,39,247
204,428,443,211
205,136,405,238
206,245,401,41
207,296,213,222
208,238,8,244
209,271,63,245
210,313,192,491
211,79,239,470
212,454,454,34
213,81,477,3
214,222,320,7
215,21,7,444
216,244,92,9
217,269,229,454
218,247,154,313
219,491,109,136
220,154,162,141
221,3,235,296
222,211,88,428
223,7,230,427
224,9,448,154
225,68,287,21
226,64,197,26
227,26,26,271
228,141,407,79
229,470,10,269
230,41,203,68
231,34,428,64
232,444,366,81
233,443,470,443
234,92,402,219
235,219,434,92
236,464,253,387
237,478,170,431
238,351,122,349
239,329,469,456
240,353,34,351
241,483,36,434
242,484,364,353
243,354,182,354
244,463,473,355
245,457,41,432
246,355,49,356
247,356,362,357
248,357,185,347
249,456,367,430
250,455,184,457
251,466,200,360
252,475,191,361
253,336,355,426
254,349,181,424
255,337,21,484
256,338,250,362
257,334,391,348
258,340,439,346
259,342,118,364
260,473,360,455
261,344,147,449
262,476,117,452
263,345,444,453
264,360,382,445
265,477,363,441
266,346,22,489
267,347,237,440
268,331,352,334
269,348,440,439
270,468,83,336
271,467,66,345
272,449,149,337
273,452,84,338
274,413,383,438
275,412,186,340
276,411,365,341
277,409,57,437
278,408,387,342
279,378,386,436
280,407,385,344
281,405,356,363
282,403,370,365
283,415,371,386
284,400,372,446
285,381,354,478
286,397,373,381
287,395,54,400
288,394,381,399
289,382,56,467
290,391,351,468
291,390,361,397
292,383,357,395
293,387,46,394
294,399,378,393
295,416,353,405
296,418,133,382
297,422,390,473
298,385,427,391
299,447,348,390
300,446,29,383
301,361,436,477
302,445,437,385
303,362,438,476
304,364,441,475
305,365,445,403
306,367,446,378
307,440,447,422
308,372,24,415
309,439,452,419
310,373,453,366
311,438,455,367
312,437,456,418
313,436,457,331
314,434,20,370
315,432,463,371
316,430,464,416
317,426,466,483
318,424,467,463
319,453,468,407
320,323,429,413
321,1,426,464
322,321,392,372
323,142,30,466
324,140,393,373
325,139,394,412
326,135,395,411
327,134,397,409
328,133,399,408
329,124,400,447
330,143,403,1
331,123,37,329
332,120,409,323
333,119,411,139
334,118,412,135
335,115,413,134
336,109,415,133
337,108,416,129
338,107,418,124
339,121,419,123
340,106,33,121
341,145,32,120
342,148,422,119
343,180,423,118
344,179,424,115
345,322,349,109
346,169,312,108
347,168,347,107
348,167,346,106
349,165,220,105
350,147,217,140
351,162,99,142
352,158,101,143
353,157,212,158
354,156,211,169
355,155,210,168
356,153,102,167
357,151,104,166
358,149,105,165
359,160,205,162
360,182,202,160
361,105,106,157
362,103,107,145
363,42,198,156
364,40,94,155
365,37,222,153
366,33,224,151
367,32,242,149
368,30,255,148
369,24,254,147
370,46,249,104
371,23,247,103
372,17,245,102
373,16,91,23
374,12,241,40
375,10,93,37
376,8,240,36
377,6,238,33
378,2,236,32
379,20,233,30
380,104,231,24
381,49,227,22
382,54,196,46
383,102,195,20
384,101,193,17
385,99,144,16
386,93,153,12
387,91,151,10
388,86,123,8
389,85,148,6
390,52,124,42
391,84,145,49
392,82,143,101
393,78,156,83
394,75,129,99
395,73,141,94
396,63,140,93
397,57,139,91
398,56,136,86
399,83,135,85
400,185,155,84
401,170,157,82
402,188,190,52
403,297,168,78
404,295,189,75
405,294,108,73
406,293,180,63
407,292,179,57
408,291,115,56
409,286,169,54
410,299,167,170
411,285,158,179
412,280,166,180
413,279,165,291
414,277,119,300
415,276,120,299
416,275,121,297
417,268,160,295
418,186,256,294
419,284,257,293
420,265,259,292
421,300,79,286
422,302,322,302
423,319,321,285
424,318,319,284
425,317,318,283
426,316,317,280
427,315,316,279
428,314,314,278
429,312,78,277
430,301,134,301
431,311,310,303
432,309,309,275
433,308,308,314
434,307,306,322
435,306,305,321
436,305,323,319
437,304,325,318
438,303,303,317
439,310,339,316
440,263,345,315
441,266,344,312
442,223,343,304
443,233,342,311
444,231,341,310
445,224,340,309
446,220,338,308
447,212,75,307
448,205,337,306
449,236,64,305
450,202,334,276
451,197,331,268
452,195,329,182
453,193,73,196
454,191,304,217
455,190,302,212
456,189,260,210
457,198,269,205
458,237,277,202
459,246,276,198
460,257,275,197
461,259,82,195
462,242,271,223
463,262,85,193
464,256,268,191
465,260,279,190
466,240,267,189
467,393,265,188
468,22,264,186
469,166,263,185
470,241,262,220
471,196,86,224
472,363,278,266
473,264,280,256
474,489,301,265
475,371,293,264
476,370,300,263
477,278,299,262
478,36,297,260
479,94,296,259
480,217,295,257
481,419,294,2
482,386,292,227
483,341,283,242
484,129,291,241
485,441,290,240
486,227,81,237
487,283,286,236
488,431,285,233
489,210,284,231
490,366,246,246
