strain	date	Host	Geo_Location	country	accession
OM140827	1989-12-31 (1989-02-07 - 1989-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107928	2016-01-27	Homo sapiens	Nigeria: Imo	Nigeria	
MK107962	2013-02-03	Homo sapiens	Nigeria: Enugu	Nigeria	
MK107966	2012-02-10	Homo sapiens	Nigeria: Rivers	Nigeria	
MK107922	2016-01-18	Homo sapiens	Nigeria: Cross River	Nigeria	
MK107967	2012-02-21	Homo sapiens	Nigeria: Rivers	Nigeria	
MK117950	2017-02-02	Homo sapiens	Nigeria: EBONYI	Nigeria	
MH053584	2016-02-29	Homo sapiens	Nigeria	Nigeria	
MK117992	2018-02-03	Homo sapiens	Nigeria: EBONYI	Nigeria	
MK107923	2016-02-09	Homo sapiens	Nigeria: Ebonyi	Nigeria	
MG812641	1989-01-01 (1989-01-01 - 1989-11-03)	Homo sapiens	Nigeria	Nigeria	
KU978811	1989-01-01	Homo sapiens	Nigeria	Nigeria	
MG812681	1974-01-01 (1974-01-01 - 1974-11-23)	Homo sapiens	Nigeria	Nigeria	
MK107960	2012-02-10	Homo sapiens	Nigeria: Tararba	Nigeria	
MK107942	2016-01-05	Homo sapiens	Nigeria: Taraba	Nigeria	
MH053562	2016-01-05	Homo sapiens	Nigeria	Nigeria	
MK107901	2013-03-06	Homo sapiens	Nigeria: Taraba	Nigeria	
MK107952	2015-02-25	Homo sapiens	Nigeria: Taraba	Nigeria	
MH887880	2018-02-04	Homo sapiens	Nigeria	Nigeria	
MK107969	2012-02-10	Homo sapiens	Nigeria: Tararba	Nigeria	
MK107959	2012-02-10	Homo sapiens	Nigeria: Tararba	Nigeria	
MK107958	2012-02-08	Homo sapiens	Nigeria: Tararba	Nigeria	
KM821977	2012-01-19 (2012-01-01 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821976	2012-01-26 (2012-01-01 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821974	2012-01-26 (2012-01-01 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MH053567	2016-01-14	Homo sapiens	Nigeria	Nigeria	
MK107925	2016-02-26	Homo sapiens	Nigeria: Ebonyi	Nigeria	
MK117960	2018-01-13	Homo sapiens	Nigeria: EBONYI	Nigeria	
MH887837	2018-01-13	Homo sapiens	Nigeria	Nigeria	
MK117961	2018-01-13	Homo sapiens	Nigeria: IMO	Nigeria	
MK117853	2018-01-13	Homo sapiens	Nigeria: IMO	Nigeria	
MH887860	2018-01-13	Homo sapiens	Nigeria	Nigeria	
LC388592	2016-01-01 (2016-01-01 - 2016-11-18)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
MH053552	2016-02-28	Homo sapiens	Nigeria	Nigeria	
MH053501	2016-06-10	Homo sapiens	Nigeria	Nigeria	
MK107926	2016-02-28	Homo sapiens	Nigeria: Ebonyi	Nigeria	
MH053560	2016-04-25	Homo sapiens	Nigeria	Nigeria	
MH053572	2016-02-11	Homo sapiens	Nigeria	Nigeria	
MK107924	2016-02-18	Homo sapiens	Nigeria: Ebonyi	Nigeria	
LC387486	2016-12-04 (2016-01-01 - 2016-12-31)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
GU481068	2008-01-01 (2008-01-01 - 2008-11-18)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
MK118020	2018-02-12	Homo sapiens	Nigeria: EBONYI	Nigeria	
LC387470	2013-12-31 (2013-02-17 - 2013-12-31)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
KM821979	2012-01-01 (2012-01-01 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MK118019	2018-02-12	Homo sapiens	Nigeria: EBONYI	Nigeria	
MK117994	2018-02-07	Homo sapiens	Nigeria: EBONYI	Nigeria	
MH887834	2018-02-10	Homo sapiens	Nigeria	Nigeria	
MH053527	2016-02-08	Homo sapiens	Nigeria	Nigeria	
LC387484	2016-01-01 (2016-01-01 - 2016-11-18)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
LC387488	2016-12-31 (2016-02-14 - 2016-12-31)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
MK118018	2018-02-15	Homo sapiens	Nigeria: EBONYI	Nigeria	
MH887828	2018-02-17	Homo sapiens	Nigeria	Nigeria	
LC387468	2012-01-01 (2012-01-01 - 2012-11-23)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
MH887820	2018-01-13	Homo sapiens	Nigeria	Nigeria	
MK117993	2018-02-07	Homo sapiens	Nigeria: EBONYI	Nigeria	
MK117980	2018-01-30	Homo sapiens	Nigeria: EBONYI	Nigeria	
MH157039	2018-02-02	Homo sapiens	Nigeria	Nigeria	
MK117996	2018-02-10	Homo sapiens	Nigeria: EBONYI	Nigeria	
MH887799	2018-02-10	Homo sapiens	Nigeria	Nigeria	
MK107961	2013-01-25	Homo sapiens	Nigeria: Ebonyi	Nigeria	
MK117975	2018-01-23	Homo sapiens	Nigeria: EBONYI	Nigeria	
MK117981	2018-02-04	Homo sapiens	Nigeria: TARABA	Nigeria	
LC387482	2016-01-01 (2016-01-01 - 2016-11-19)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
OR147792	2018-02-10	Homo sapiens	Nigeria	Nigeria	
MK117995	2018-02-03	Homo sapiens	Nigeria: EBONYI	Nigeria	
MK107970	2013-01-23	Homo sapiens	Nigeria: Plateau	Nigeria	
MK107902	2014-05-14	Homo sapiens	Nigeria: Ebonyi	Nigeria	
MK107904	2014-05-14	Homo sapiens	Nigeria: Ebonyi	Nigeria	
LC387476	2014-01-01 (2014-01-01 - 2014-11-03)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
MK107903	2014-05-14	Homo sapiens	Nigeria: Ebonyi	Nigeria	
MK107905	2014-05-15	Homo sapiens	Nigeria: Ebonyi	Nigeria	
MK107906	2014-05-17	Homo sapiens	Nigeria: Ebonyi	Nigeria	
LC387478	2014-01-01 (2014-01-01 - 2014-11-06)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
LC387472	2014-12-31 (2014-02-24 - 2014-12-31)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
LC387480	2014-12-31 (2014-03-11 - 2014-12-31)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
LC387474	2014-12-31 (2014-03-11 - 2014-12-31)	Homo sapiens	Nigeria: Ebonyi State	Nigeria	
MK107957	2016-03-01	Homo sapiens	Nigeria: Ondo	Nigeria	
MH053536	2016-11-07	Homo sapiens	Nigeria	Nigeria	
OL774859	2009-12-31 (2009-02-07 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887832	2018-03-27	Homo sapiens	Nigeria	Nigeria	
MH053502	2016-08-16	Homo sapiens	Nigeria	Nigeria	
MH887889	2018-02-17	Homo sapiens	Nigeria	Nigeria	
MH887769	2018-02-21	Homo sapiens	Nigeria	Nigeria	
MK118025	2018-02-21	Homo sapiens	Nigeria: DELTA	Nigeria	
MK117862	2018-02-21	Homo sapiens	Nigeria: DELTA	Nigeria	
MH887785	2018-03-02	Homo sapiens	Nigeria	Nigeria	
MK117958	2018-01-13	Homo sapiens	Nigeria: ANAMBRA	Nigeria	
MH887776	2018-01-13	Homo sapiens	Nigeria	Nigeria	
KM821986	2012-01-01 (2012-01-01 - 2012-11-21)	Homo sapiens	Nigeria	Nigeria	
MK107913	2015-07-02	Homo sapiens	Nigeria: Kogi	Nigeria	
KM821945	2012-12-31 (2012-02-08 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887761	2017-08-19	Homo sapiens	Nigeria	Nigeria	
