Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
NC_004297,Mammarenavirus lassaense,"Djavani,M., Lukashevich,I.S., Sanchez,A., Nichol,S.T., Salvato,M.S., Lukashevich,I.","National Center for Biotechnology Information, NIH",USA,1998-03-17,,Mammarenavirus lassaense,complete,,,,,
NC_004296,Mammarenavirus lassaense,"Auperin,D.D., McCormick,J.B.","National Center for Biotechnology Information, NIH",USA,1993-08-02,,Mammarenavirus lassaense,complete,,,,,
OR493499,Mammarenavirus lassaense,"Happi,A.N., Ogunsanya,O., Ayinla,A., Sijuwola,A., Akano,K., Saibu,F., Nwofoke,C., Achonduh-Atijegbe,O., Daodu,R., Adedokun,O., Adeyemo,A., Parker,Z., Parker,E., McCauley,M., Eller,L., Tiamiyu,A., Iroezindu,M., Akinwale,E., Mebrahtu,T., Lombardi,K., Broach,E., Prins,P., Lay,J., Amare,M., Nosamiefan,I., Okolie,J., Modjarrad,K., Collins,N., Vasan,S., Tucker,C., Fouapon,A., Sharon,D., Happi,C.","Redeemer's University, African Center of Excellence for Genomics of Infectious Diseases",Nigeria,2023-11-12,,Mammarenavirus lassaense,partial,Nigeria: Abakaliki,Nigeria,Capra hircus,,2022-02-21
OR493500,Mammarenavirus lassaense,"Happi,A., Ogunsanya,O., Ayinla,A., Sijuwola,A., Akano,K., Saibu,F., Nwofoke,C., Achonduh-Atijegbe,O., Daodu,R., Adedokun,O., Adeyemo,A., Parker,Z., Parker,E., McCauley,M., Eller,L., Tiamiyu,A., Iroezindu,M., Akinwale,E., Mebrahtu,T., Lombardi,K., Broach,E., Prins,P., Lay,J., Amare,M., Nosamiefan,I., Okolie,J., Modjarrad,K., Collins,N., Vasan,S., Tucker,C., Fouapon,A., Sharon,D., Happi,C.","Redeemer's University, African Center of Excellence for Genomics of Infectious Diseases",Nigeria,2023-11-12,,Mammarenavirus lassaense,partial,Nigeria: Owo,Nigeria,Canis lupus familiaris,,2021-06-30
OR493501,Mammarenavirus lassaense,"Happi,A., Ogunsanya,O., Ayinla,A., Sijuwola,A., Akano,K., Saibu,F., Nwofoke,C., Achonduh-Atijegbe,O., Daodu,R., Adedokun,O., Adeyemo,A., Parker,Z., Parker,E., McCauley,M., Eller,L., Tiamiyu,A., Iroezindu,M., Akinwale,E., Mebrahtu,T., Lombardi,K., Broach,E., Print,P., Lay,J., Amare,M., Nosamiefan,I., Okolie,J., Modjarrad,K., Collins,N., Vasan,S., Tucker,C., Fouapon,A., Sharon,D., Happi,C.","Redeemer's University, African Center of Excellence for Genomics of Infectious Diseases",Nigeria,2023-11-12,,Mammarenavirus lassaense,partial,Nigeria: Abakaliki,Nigeria,Capra hircus,,2022-02-22
OR493502,Mammarenavirus lassaense,"Happi,A., Ogunsanya,O., Ayinla,A., Sijuwola,A., Akano,K., Saibu,F., Nwofoke,C., Achonduh-Atijegbe,O., Daodu,R., Adedokun,O., Adeyemo,A., Parker,Z., Parker,E., McCauley,M., Eller,L., Tiamiyu,A., Iroezindu,M., Akinwale,E., Mebrahtu,T., Lombardi,K., Broach,E., Prins,P., Lay,J., Amare,M., Nosamiefan,I., Okolie,J., Modjarrad,K., Collins,N., Vasan,S., Tucker,C., Fouapon,A., Sharon,S., Happi,C.","Redeemer's University, African Center of Excellence for Genomics of Infectious Diseases",Nigeria,2023-11-12,,Mammarenavirus lassaense,partial,Nigeria: Abakaliki,Nigeria,Capra hircus,,2022-03-08
OR493503,Mammarenavirus lassaense,"Happi,A., Ogunsanya,O., Ayinla,A., Sijuwola,A., Akano,K., Saibu,F., Nwofoke,C., Achonduh-Atijegbe,O., Daodu,R., Adedokun,O., Adeyemo,A., Parker,Z., Parker,E., McCauley,M., Eller,L., Tiamiyu,A., Iroezindu,M., Akinwale,E., Mebrahtu,T., Lombardi,K., Broach,E., Prins,P., Lay,J., Amare,M., Nosamiefan,I., Okolie,J., Modjarrad,K., Collins,N., Vasan,S., Tucker,C., Fouapon,A., Sharon,D., Happi,C.","Redeemer's University, African Center of Excellence for Genomics of Infectious Diseases",Nigeria,2023-11-12,,Mammarenavirus lassaense,partial,Nigeria: Owo,Nigeria,,,2021-07-13
OR493504,Mammarenavirus lassaense,"Happi,A., Ogunsanya,O., Ayinla,A., Sijuwola,A., Akano,K., Saibu,F., Nwofoke,C., Achonduh-Atijegbe,O., Daodu,R., Adedokun,O., Adeyemo,A., Parker,Z., Parker,E., McCauley,M., Eller,L., Tiamiyu,A., Iroezindu,M., Akinwale,E., Mebrahtu,T., Lombardi,K., Broach,E., Prins,P., Lay,J., Amare,M., Nosamiefan,I., Okolie,J., Modjarrad,K., Collins,N., Vasan,S., Tucker,C., Fouapon,A., Sharon,D., Happi,C.","Redeemer's University, African Center of Excellence for Genomics of Infectious Diseases",Nigeria,2023-11-12,,Mammarenavirus lassaense,partial,Nigeria: Owo,Nigeria,,,2021-07-09
OR147788,Mammarenavirus lassaense,"Oguzie,J.U., Petros,B.A., Oluniyi,P.E., Mehta,S.B., Eromon,P.E., Adewale-Fasoro,O., Ifoga,P.D., Odia,I., Pastusiak,A., Gbemisola,O.S., Aiyepada,J.O., Uyigue,E.A., Edamhande,A.P., Blessing,O., Airende,M., Nair,P., Tomkins-Tinch,C., Qu,J., Stenson,L., Oyejide,N., Ajayi,N.A., Ojide,K., Ogah,O., Abejegah,C., Adedosu,N., Ayodeji,O., Okogbenin,S., Okokhere,P.O., Folarin,O.A., Komolafe,I., Ihekweazu,C., Frost,S.D.W., Jackson,E.K., Siddle,K.J., Sabeti,P.C., Happi,C.T.","Redeemer's University, Biological Sciences",Nigeria,2023-09-27,c0044-1,Mammarenavirus lassaense,partial,,,,,
OR147789,Mammarenavirus lassaense,"Oguzie,J.U., Petros,B.A., Oluniyi,P.E., Mehta,S.B., Eromon,P.E., Adewale-Fasoro,O., Ifoga,P.D., Odia,I., Pastusiak,A., Gbemisola,O.S., Aiyepada,J.O., Uyigue,E.A., Edamhande,A.P., Blessing,O., Airende,M., Nair,P., Tomkins-Tinch,C., Qu,J., Stenson,L., Oyejide,N., Ajayi,N.A., Ojide,K., Ogah,O., Abejegah,C., Adedosu,N., Ayodeji,O., Okogbenin,S., Okokhere,P.O., Folarin,O.A., Komolafe,I., Ihekweazu,C., Frost,S.D.W., Jackson,E.K., Siddle,K.J., Sabeti,P.C., Happi,C.T.","Redeemer's University, Biological Sciences",Nigeria,2023-09-27,c0091-1,Mammarenavirus lassaense,partial,,,,,
OR147790,Mammarenavirus lassaense,"Oguzie,J.U., Petros,B.A., Oluniyi,P.E., Mehta,S.B., Eromon,P.E., Adewale-Fasoro,O., Ifoga,P.D., Odia,I., Pastusiak,A., Gbemisola,O.S., Aiyepada,J.O., Uyigue,E.A., Edamhande,A.P., Blessing,O., Airende,M., Nair,P., Tomkins-Tinch,C., Qu,J., Stenson,L., Oyejide,N., Ajayi,N.A., Ojide,K., Ogah,O., Abejegah,C., Adedosu,N., Ayodeji,O., Okogbenin,S., Okokhere,P.O., Folarin,O.A., Komolafe,I., Ihekweazu,C., Frost,S.D.W., Jackson,E.K., Siddle,K.J., Sabeti,P.C., Happi,C.T.","Redeemer's University, Biological Sciences",Nigeria,2023-09-27,c0141-1,Mammarenavirus lassaense,partial,,,,,
OR147791,Mammarenavirus lassaense,"Oguzie,J.U., Petros,B.A., Oluniyi,P.E., Mehta,S.B., Eromon,P.E., Adewale-Fasoro,O., Ifoga,P.D., Odia,I., Pastusiak,A., Gbemisola,O.S., Aiyepada,J.O., Uyigue,E.A., Edamhande,A.P., Blessing,O., Airende,M., Nair,P., Tomkins-Tinch,C., Qu,J., Stenson,L., Oyejide,N., Ajayi,N.A., Ojide,K., Ogah,O., Abejegah,C., Adedosu,N., Ayodeji,O., Okogbenin,S., Okokhere,P.O., Folarin,O.A., Komolafe,I., Ihekweazu,C., Frost,S.D.W., Jackson,E.K., Siddle,K.J., Sabeti,P.C., Happi,C.T.","Redeemer's University, Biological Sciences",Nigeria,2023-09-27,c0044-2,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-24
OR147792,Mammarenavirus lassaense,"Oguzie,J.U., Petros,B.A., Oluniyi,P.E., Mehta,S.B., Eromon,P.E., Adewale-Fasoro,O., Ifoga,P.D., Odia,I., Pastusiak,A., Gbemisola,O.S., Aiyepada,J.O., Uyigue,E.A., Edamhande,A.P., Blessing,O., Airende,M., Nair,P., Tomkins-Tinch,C., Qu,J., Stenson,L., Oyejide,N., Ajayi,N.A., Ojide,K., Ogah,O., Abejegah,C., Adedosu,N., Ayodeji,O., Okogbenin,S., Okokhere,P.O., Folarin,O.A., Komolafe,I., Ihekweazu,C., Frost,S.D.W., Jackson,E.K., Siddle,K.J., Sabeti,P.C., Happi,C.T.","Redeemer's University, Biological Sciences",Nigeria,2023-09-27,c0091-2,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-10
OR147793,Mammarenavirus lassaense,"Oguzie,J.U., Petros,B.A., Oluniyi,P.E., Mehta,S.B., Eromon,P.E., Adewale-Fasoro,O., Ifoga,P.D., Odia,I., Pastusiak,A., Gbemisola,O.S., Aiyepada,J.O., Uyigue,E.A., Edamhande,A.P., Blessing,O., Airende,M., Nair,P., Tomkins-Tinch,C., Qu,J., Stenson,L., Oyejide,N., Ajayi,N.A., Ojide,K., Ogah,O., Abejegah,C., Adedosu,N., Ayodeji,O., Okogbenin,S., Okokhere,P.O., Folarin,O.A., Komolafe,I., Ihekweazu,C., Frost,S.D.W., Jackson,E.K., Siddle,K.J., Sabeti,P.C., Happi,C.T.","Redeemer's University, Biological Sciences",Nigeria,2023-09-27,c0141-2,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-10
OQ889555,Mammarenavirus lassaense,"Postigo Hidalgo,I., Drexler,J.F.","Charite Universitatsmedizin Berlin, Institute of virology",Germany,2023-08-16,BOF401,Mammarenavirus lassaense,partial,Guinea: Boffa,Guinea,Homo sapiens,,2014-06-26
OR041676,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27901-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-02-08
OR041677,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27804-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-09-11
OR041678,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-24650-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2021-03-15
OR041679,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27818-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-10-06
OR041680,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27879-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-01-17
